soll_X;soll_Y;soll_Z;soll_A;soll_B;soll_C;korr_X;korr_Y;korr_Z;korr_A;korr_B;korr_C
0;0;0;-1;0;0;0;3,2;-0,4;1;0;0
0;0;0;-2;0;0;0;6,2;-1;2;0;0
0;0;0;-3;0;0;0;9,4;-1,3;3;0;0
0;0;0;-4;0;0;0;12,5;-1,5;4;0;0
0;0;0;-5;0;0;0;15,53;-1,8;5;0;0
0;0;0;-6;0;0;0;18,8;-2;6;0;0
0;0;0;-7;0;0;0;22,1;-2,2;7;0;0
0;0;0;-8;0;0;0;24,9;-2,3;8;0;0
0;0;0;0;-1;0;-2,4;0;0,1;1;0;0
0;0;0;0;-2;0;-5,5;0;0,2;2;0;0
0;0;0;0;-3;0;-9,43;0;0,4;0;3;0
0;0;0;0;-4;0;-11,6;0;0,8;0;4;0
0;0;0;0;-5;0;-15,43;0;0,9;0;5;0
0;0;0;0;-6;0;-17,8;0;1,5;0;6;0
0;0;0;0;-7;0;-21;0;2;0;7;0
0;0;0;0;-8;0;-24,63;0;2,3;0;8;0
